d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
4.0,12.0,Corki,Side.red,7.0,521.0,2465.0,521.0,11.0,0.9090909090909092,3.0,14.0,3.0,19309.0,0.0,18.0,121135,10470,Many,1
14.0,4.0,Thresh,Side.red,10.0,0.0,496.0,0.0,11.0,0.9090909090909092,0.0,13.0,44.0,20965.0,0.0,107.0,16186,7463,Few,1
7.0,4.0,Kalista,Side.blue,5.0,3215.0,12004.0,3215.0,12.0,0.916666667,6.0,14.0,15.0,28597.0,1.0,22.0,134865,11670,Many,2
4.0,14.0,Lux,Side.red,8.0,1410.0,2402.0,1410.0,13.0,0.923076923,4.0,13.0,31.0,23297.0,0.0,77.0,51842,8991,Few,2
4.0,14.0,Zoe,Side.blue,4.0,0.0,48.0,0.0,9.0,1.0,5.0,14.0,29.0,17965.0,0.0,12.0,99747,10684,Many,1
12.0,4.0,Akshan,Side.red,3.0,0.0,3627.0,0.0,7.0,1.0,4.0,13.0,0.0,16232.0,0.0,16.0,102162,9661,Many,0
7.0,4.0,KogMaw,Side.red,3.0,2870.0,4793.0,2870.0,5.0,1.0,2.0,14.0,9.0,18285.0,1.0,32.0,164865,11443,Many,1
12.0,4.0,TwistedFate,Side.red,2.0,4390.0,4390.0,4390.0,8.0,1.0,6.0,14.0,36.0,22564.0,2.0,25.0,128168,11690,Many,1
4.0,7.0,Jhin,Side.red,6.0,1284.0,4495.0,1284.0,9.0,1.0,3.0,14.0,18.0,18806.0,0.0,33.0,115955,10258,Many,1
4.0,12.0,Xerath,Side.red,8.0,0.0,3208.0,0.0,10.0,1.0,2.0,13.0,17.0,17628.0,0.0,12.0,95285,7888,Many,2
4.0,12.0,Anivia,Side.blue,2.0,622.0,1732.0,622.0,5.0,1.0,3.0,13.0,39.0,20140.0,0.0,17.0,93822,8907,Many,0
4.0,7.0,Caitlyn,Side.blue,6.0,3257.0,5382.0,3257.0,8.0,1.0,2.0,13.0,7.0,16150.0,1.0,24.0,108147,9332,Many,0
4.0,3.0,Jinx,Side.red,4.0,4259.0,7303.0,4259.0,5.0,1.0,1.0,14.0,15.0,14397.0,2.0,12.0,126380,10743,Many,2
14.0,4.0,Pyke,Side.red,12.0,0.0,771.0,0.0,14.0,1.0,2.0,13.0,18.0,23245.0,0.0,106.0,8827,8098,Few,1
4.0,1.0,Kaisa,Side.red,7.0,4360.0,7234.0,4360.0,9.0,1.0,2.0,14.0,0.0,19198.0,2.0,34.0,165231,12300,Many,1
4.0,14.0,Vladimir,Side.red,1.0,2293.0,4748.0,2293.0,4.0,1.0,3.0,13.0,1.0,14450.0,1.0,13.0,96183,8532,Many,0
3.0,4.0,Ezreal,Side.blue,7.0,128.0,575.0,128.0,9.0,1.0,2.0,13.0,2.0,15279.0,0.0,23.0,104835,8837,Many,1
12.0,4.0,Orianna,Side.red,2.0,497.0,756.0,497.0,2.0,1.0,0.0,13.0,10.0,10726.0,0.0,21.0,88140,7016,Many,1
12.0,4.0,Leblanc,Side.red,2.0,2393.0,2393.0,2393.0,4.0,1.0,2.0,14.0,13.0,19548.0,1.0,16.0,83423,8633,Many,0
4.0,14.0,Blitzcrank,Side.red,11.0,114.0,114.0,114.0,14.0,1.0,3.0,14.0,44.0,38246.0,0.0,55.0,28409,9683,Few,0
4.0,7.0,Jhin,Side.red,0.0,781.0,8747.0,781.0,3.0,1.0,3.0,14.0,21.0,16461.0,0.0,31.0,153857,11419,Many,1
12.0,4.0,Akali,Side.blue,3.0,901.0,2648.0,901.0,9.0,1.0,6.0,13.0,1.0,23358.0,0.0,11.0,77094,8322,Many,1
4.0,12.0,Viktor,Side.blue,4.0,3718.0,3924.0,3718.0,4.0,1.0,0.0,14.0,15.0,17521.0,2.0,30.0,133248,9688,Many,1
12.0,4.0,Ryze,Side.blue,5.0,1211.0,1211.0,1211.0,7.0,1.0,2.0,14.0,26.0,23066.0,1.0,17.0,128905,10367,Many,1
4.0,7.0,Aphelios,Side.blue,4.0,3611.0,14425.0,3611.0,10.0,1.0,6.0,13.0,17.0,18808.0,1.0,18.0,104464,10342,Many,2
4.0,14.0,Pyke,Side.red,5.0,954.0,1205.0,954.0,9.0,1.0,4.0,14.0,18.0,21626.0,0.0,17.0,47925,10375,Many,2
4.0,7.0,Jhin,Side.red,6.0,1284.0,4495.0,1284.0,9.0,1.0,3.0,14.0,18.0,18806.0,0.0,33.0,115955,10258,Many,1
12.0,4.0,Yone,Side.red,2.0,1025.0,3088.0,1025.0,5.0,1.0,3.0,13.0,10.0,12629.0,0.0,9.0,93550,8367,Many,1
14.0,4.0,Pyke,Side.red,12.0,0.0,771.0,0.0,14.0,1.0,2.0,13.0,18.0,23245.0,0.0,106.0,8827,8098,Few,1
