d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,server
12.0,14.0,Akali,Side.blue,1.0,3179.0,3179.0,3179.0,4.0,0.25,0.0,11.0,0.0,7896.0,1.0,7.0,52941,5008,TopLane_Jungle,Many,0
12.0,4.0,Orianna,Side.red,1.0,1927.0,3735.0,1927.0,4.0,0.25,0.0,13.0,11.0,12090.0,0.0,20.0,95535,7659,Other,Many,1
4.0,7.0,Aphelios,Side.red,1.0,4114.0,4114.0,4114.0,4.0,0.25,0.0,8.0,13.0,10382.0,0.0,12.0,59508,5073,Other,Many,2
4.0,7.0,Jinx,Side.blue,0.0,495.0,2392.0,495.0,4.0,0.25,1.0,9.0,3.0,8856.0,0.0,9.0,49004,4951,Other,Many,1
12.0,4.0,Yasuo,Side.red,0.0,725.0,4042.0,725.0,4.0,0.25,1.0,12.0,7.0,12092.0,0.0,14.0,91401,7004,Other,Many,1
4.0,3.0,Jinx,Side.red,1.0,0.0,0.0,0.0,4.0,0.25,0.0,8.0,5.0,6740.0,0.0,2.0,33710,4124,Other,Few,0
12.0,14.0,Akali,Side.red,1.0,3613.0,3613.0,3613.0,8.0,0.25,1.0,14.0,2.0,21223.0,1.0,17.0,86706,7964,TopLane_Jungle,Many,2
14.0,6.0,Singed,Side.blue,1.0,336.0,1109.0,336.0,4.0,0.25,0.0,12.0,14.0,14455.0,0.0,12.0,90191,6929,TopLane_Jungle,Many,2
4.0,7.0,Aphelios,Side.blue,0.0,63.0,63.0,63.0,12.0,0.25,3.0,9.0,9.0,15459.0,0.0,12.0,33873,5699,Other,Few,1
4.0,12.0,Shen,Side.red,1.0,0.0,181.0,0.0,4.0,0.25,0.0,11.0,11.0,19639.0,0.0,21.0,25726,5102,TopLane_Jungle,Few,2
12.0,4.0,Yone,Side.red,1.0,1609.0,1609.0,1609.0,4.0,0.25,0.0,10.0,5.0,9427.0,0.0,8.0,62527,5252,Other,Many,2
12.0,4.0,Kassadin,Side.blue,1.0,765.0,765.0,765.0,4.0,0.25,0.0,10.0,7.0,8206.0,0.0,10.0,40615,4579,Other,Many,1
12.0,4.0,Cassiopeia,Side.red,0.0,0.0,0.0,0.0,8.0,0.25,2.0,8.0,3.0,10164.0,0.0,5.0,24500,4920,TopLane_Jungle,Few,0
4.0,3.0,Vayne,Side.red,2.0,0.0,0.0,0.0,8.0,0.25,0.0,10.0,6.0,9328.0,0.0,9.0,41292,5119,Other,Many,0
4.0,12.0,Kassadin,Side.red,0.0,771.0,771.0,771.0,4.0,0.25,1.0,10.0,7.0,6727.0,0.0,5.0,37120,5090,Other,Many,2
3.0,4.0,Sivir,Side.blue,1.0,2781.0,4145.0,2781.0,4.0,0.25,0.0,12.0,1.0,8811.0,1.0,7.0,122228,7616,Other,Many,0
4.0,12.0,Yone,Side.red,2.0,0.0,0.0,0.0,8.0,0.25,0.0,10.0,8.0,11726.0,0.0,12.0,51049,4617,TopLane_Jungle,Few,1
4.0,14.0,Yone,Side.red,0.0,701.0,701.0,701.0,4.0,0.25,1.0,9.0,1.0,8848.0,0.0,7.0,48104,5205,Other,Few,2
14.0,4.0,Teemo,Side.blue,1.0,887.0,887.0,887.0,4.0,0.25,0.0,10.0,12.0,6804.0,0.0,7.0,44452,4633,Other,Many,0
3.0,4.0,Draven,Side.blue,1.0,1575.0,3836.0,1575.0,8.0,0.25,1.0,10.0,4.0,12765.0,0.0,8.0,67531,7171,Other,Many,1
3.0,4.0,Aphelios,Side.red,1.0,4535.0,4535.0,4535.0,4.0,0.25,0.0,10.0,10.0,9456.0,2.0,13.0,61089,6264,Other,Many,0
3.0,4.0,Soraka,Side.red,2.0,178.0,391.0,178.0,8.0,0.25,0.0,9.0,25.0,13122.0,0.0,29.0,10330,4628,Other,Few,2
12.0,4.0,Yasuo,Side.red,0.0,322.0,837.0,322.0,4.0,0.25,1.0,12.0,9.0,13177.0,0.0,15.0,83517,6919,Other,Many,0
4.0,7.0,Jhin,Side.red,0.0,0.0,1966.0,0.0,8.0,0.25,2.0,8.0,7.0,12189.0,0.0,6.0,42162,5245,Other,Few,1
12.0,4.0,Jayce,Side.red,3.0,1647.0,1647.0,1647.0,11.0,0.2727272727272727,0.0,11.0,9.0,19171.0,0.0,10.0,80672,7325,TopLane_Jungle,Many,0
4.0,12.0,Ezreal,Side.blue,1.0,0.0,0.0,0.0,11.0,0.272727273,2.0,8.0,0.0,15840.0,0.0,4.0,31216,4589,Other,Few,2
4.0,12.0,Jayce,Side.red,0.0,604.0,1569.0,604.0,7.0,0.2857142857142857,2.0,11.0,7.0,13344.0,0.0,14.0,74380,6149,TopLane_Jungle,Many,0
12.0,4.0,Yone,Side.red,0.0,1390.0,5214.0,1390.0,7.0,0.2857142857142857,2.0,11.0,11.0,15182.0,0.0,11.0,74710,6691,TopLane_Jungle,Many,1
12.0,4.0,Yone,Side.blue,4.0,946.0,2610.0,946.0,14.0,0.2857142857142857,0.0,14.0,16.0,22022.0,0.0,22.0,126007,8018,TopLane_Jungle,Many,1
4.0,12.0,Syndra,Side.blue,1.0,0.0,0.0,0.0,7.0,0.2857142857142857,1.0,12.0,16.0,12400.0,0.0,18.0,80101,7568,Other,Many,0
11.0,4.0,LeeSin,Side.blue,1.0,0.0,1942.0,0.0,7.0,0.2857142857142857,1.0,10.0,6.0,17611.0,0.0,15.0,72897,5379,TopLane_Jungle,Few,1
14.0,4.0,Yone,Side.red,0.0,343.0,952.0,343.0,7.0,0.2857142857142857,2.0,13.0,4.0,23506.0,0.0,25.0,92825,7895,Other,Many,0
14.0,4.0,AurelionSol,Side.blue,0.0,851.0,2848.0,851.0,7.0,0.2857142857142857,2.0,13.0,11.0,17547.0,0.0,16.0,89926,7897,Other,Many,0
4.0,12.0,Garen,Side.blue,0.0,3639.0,3639.0,3639.0,7.0,0.285714286,2.0,14.0,39.0,28943.0,1.0,20.0,116370,10511,TopLane_Jungle,Many,2
3.0,4.0,Lucian,Side.red,1.0,318.0,1748.0,318.0,7.0,0.285714286,1.0,11.0,2.0,14267.0,0.0,14.0,85176,7319,Other,Many,2
12.0,4.0,Irelia,Side.blue,0.0,1441.0,1921.0,1441.0,7.0,0.285714286,2.0,11.0,11.0,15740.0,1.0,13.0,82005,7089,TopLane_Jungle,Many,2
12.0,4.0,Viktor,Side.red,1.0,4927.0,7039.0,4927.0,10.0,0.3,2.0,15.0,6.0,25717.0,3.0,18.0,137994,11194,TopLane_Jungle,Many,1
4.0,12.0,Jayce,Side.blue,2.0,302.0,598.0,302.0,10.0,0.3,1.0,10.0,5.0,15582.0,0.0,15.0,59416,5537,TopLane_Jungle,Many,1
4.0,12.0,Kayle,Side.blue,1.0,1434.0,1884.0,1434.0,10.0,0.3,2.0,13.0,6.0,26685.0,2.0,15.0,105677,9579,Other,Many,2
12.0,4.0,Rumble,Side.red,1.0,916.0,1949.0,916.0,10.0,0.3,2.0,10.0,7.0,14809.0,1.0,6.0,65457,5699,TopLane_Jungle,Many,1
12.0,4.0,Sylas,Side.red,0.0,3602.0,6079.0,3602.0,13.0,0.3076923076923077,4.0,13.0,27.0,31991.0,1.0,16.0,112217,10595,Other,Many,0
4.0,7.0,Sona,Side.red,2.0,405.0,613.0,405.0,13.0,0.3076923076923077,2.0,9.0,3.0,15074.0,0.0,26.0,8060,5693,Other,Few,0
4.0,1.0,Kaisa,Side.blue,0.0,0.0,0.0,0.0,6.0,0.333333333,2.0,8.0,0.0,7022.0,0.0,7.0,34372,4981,Other,Few,2
12.0,4.0,Sion,Side.blue,2.0,945.0,945.0,945.0,6.0,0.333333333,0.0,10.0,26.0,18366.0,0.0,16.0,58503,4951,TopLane_Jungle,Few,2
4.0,12.0,Akshan,Side.red,1.0,0.0,2197.0,0.0,3.0,0.333333333,0.0,10.0,0.0,6374.0,0.0,11.0,46021,4737,TopLane_Jungle,Few,2
