d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
12.0,4.0,Akshan,Side.red,1.0,3129.0,4420.0,3129.0,7.0,0.7142857142857143,4.0,13.0,0.0,17970.0,0.0,23.0,109542,9036,Many,1
11.0,4.0,XinZhao,Side.blue,4.0,0.0,9276.0,0.0,8.0,0.75,2.0,13.0,15.0,33847.0,0.0,14.0,108577,8447,Few,2
4.0,12.0,Jax,Side.red,2.0,3410.0,4761.0,3410.0,8.0,0.75,4.0,13.0,10.0,16649.0,1.0,15.0,73345,7851,Many,1
4.0,12.0,Kennen,Side.blue,5.0,0.0,2191.0,0.0,8.0,0.75,1.0,13.0,20.0,14576.0,0.0,12.0,82101,8093,Many,0
4.0,12.0,Jax,Side.red,3.0,3517.0,4904.0,3517.0,8.0,0.75,3.0,14.0,18.0,33263.0,1.0,12.0,109405,10118,Many,1
12.0,4.0,Gangplank,Side.blue,3.0,0.0,1061.0,0.0,4.0,0.75,0.0,14.0,11.0,18409.0,0.0,22.0,115520,8377,Many,1
4.0,3.0,Lucian,Side.red,2.0,1527.0,2354.0,1527.0,8.0,0.75,4.0,13.0,3.0,16610.0,0.0,13.0,110216,9323,Many,0
4.0,12.0,Jax,Side.red,2.0,3410.0,4761.0,3410.0,8.0,0.75,4.0,13.0,10.0,16649.0,1.0,15.0,73345,7851,Many,1
4.0,11.0,Graves,Side.red,4.0,0.0,23960.0,0.0,8.0,0.75,2.0,14.0,9.0,26751.0,0.0,41.0,179256,10179,Few,2
11.0,4.0,Poppy,Side.red,6.0,0.0,983.0,0.0,12.0,0.75,3.0,13.0,32.0,31875.0,0.0,23.0,98305,8858,Few,2
12.0,4.0,Jax,Side.red,1.0,707.0,4343.0,707.0,4.0,0.75,2.0,13.0,7.0,17778.0,1.0,15.0,80071,8235,Many,0
4.0,11.0,Graves,Side.red,4.0,519.0,17162.0,519.0,8.0,0.75,2.0,14.0,22.0,27263.0,1.0,36.0,178830,10216,Few,0
4.0,12.0,Fiora,Side.red,1.0,5400.0,5400.0,5400.0,8.0,0.75,5.0,14.0,5.0,30481.0,3.0,24.0,104975,10824,Many,2
14.0,11.0,Shaco,Side.blue,3.0,0.0,20048.0,0.0,8.0,0.75,3.0,14.0,25.0,28015.0,0.0,25.0,148979,9321,Few,0
11.0,4.0,Poppy,Side.blue,7.0,213.0,9681.0,213.0,13.0,0.7692307692307693,3.0,14.0,28.0,33780.0,0.0,26.0,156049,9731,Few,0
11.0,4.0,Graves,Side.red,1.0,1002.0,17084.0,1002.0,9.0,0.7777777777777778,6.0,14.0,12.0,20129.0,0.0,14.0,183780,12056,Few,0
12.0,4.0,Sett,Side.blue,6.0,3767.0,6831.0,3767.0,9.0,0.7777777777777778,1.0,14.0,26.0,31228.0,2.0,20.0,95371,8827,Many,0
11.0,4.0,LeeSin,Side.blue,5.0,2001.0,14399.0,2001.0,9.0,0.7777777777777778,2.0,14.0,15.0,34487.0,1.0,17.0,157970,10055,Few,1
12.0,4.0,Chogath,Side.red,3.0,513.0,513.0,513.0,9.0,0.7777777777777778,4.0,13.0,58.0,32022.0,0.0,25.0,106574,8744,Many,0
11.0,4.0,Kayn,Side.red,4.0,1117.0,13905.0,1117.0,9.0,0.7777777779999999,3.0,14.0,27.0,41181.0,1.0,19.0,177434,11013,Few,2
4.0,11.0,Viego,Side.red,6.0,655.0,6884.0,655.0,14.0,0.7857142857142857,5.0,13.0,13.0,39849.0,0.0,26.0,84247,8807,Few,0
4.0,12.0,Aatrox,Side.blue,7.0,2798.0,3566.0,2798.0,14.0,0.7857142857142857,4.0,14.0,23.0,43034.0,1.0,10.0,98507,10293,Many,0
12.0,4.0,Graves,Side.blue,2.0,5612.0,5803.0,5612.0,5.0,0.8,2.0,13.0,10.0,12628.0,2.0,22.0,126465,9978,Many,2
14.0,12.0,Jax,Side.red,1.0,2994.0,8200.0,2994.0,5.0,0.8,3.0,14.0,15.0,21271.0,1.0,27.0,122010,9674,Many,2
4.0,12.0,Jax,Side.red,3.0,3498.0,3498.0,3498.0,10.0,0.8,5.0,13.0,18.0,28764.0,1.0,22.0,95479,10390,Many,2
4.0,12.0,Lucian,Side.red,2.0,1460.0,4279.0,1460.0,5.0,0.8,2.0,14.0,0.0,13692.0,1.0,14.0,101460,9266,Many,2
4.0,12.0,Urgot,Side.red,3.0,2960.0,2960.0,2960.0,5.0,0.8,1.0,13.0,20.0,16101.0,1.0,27.0,91247,8469,Many,0
12.0,6.0,Gragas,Side.blue,3.0,994.0,3830.0,994.0,5.0,0.8,1.0,13.0,42.0,23241.0,1.0,18.0,92813,8729,Many,1
6.0,4.0,Garen,Side.blue,2.0,0.0,0.0,0.0,5.0,0.8,2.0,13.0,9.0,15102.0,0.0,9.0,74890,6635,Many,0
4.0,12.0,Irelia,Side.red,0.0,1919.0,3014.0,1919.0,5.0,0.8,4.0,13.0,7.0,15150.0,2.0,12.0,122690,9666,Many,2
